1100
Aaron_Peirsol 1 2 Claudia_Schiffer 3
Alvaro_Silva_Calderon 3 4 John_Lithgow 1
Amanda_Beard 1 2 Jorge_Alberto_Galindo 1
Amber_Tamblyn 1 2 Stephen_Joseph 1
Amelia_Vega 2 4 Jan_Pronk 1
Amelia_Vega 5 7 Shi_Guangsheng 1
Amelia_Vega 6 7 Paola_Espinoza 1
Amer_al-Saadi 1 2 Wes_Craven 1
Ana_Guevara 1 5 Kristin_Scott_Thomas 1
Ana_Guevara 1 6 Kevin_Stallings 2
Ana_Guevara 2 6 Michelle_Branch 2
Ana_Guevara 3 6 Heather_Willson 1
Anastasia_Myskina 1 2 Norah_Jones 5
Anastasia_Myskina 2 3 BB_King 1
Anders_Fogh_Rasmussen 1 2 Bill_Readdy 1
Anders_Fogh_Rasmussen 3 4 Hal_Sellers 1
Andre_Agassi 9 18 Henk_Bekedam 1
Andrew_Weissmann 1 3 Masja_Juel 1
Andy_Roddick 3 15 Wayne_Allard 1
Andy_Roddick 9 14 Fujio_Cho 5
Andy_Roddick 12 15 Marisol_Breton 1
Angela_Bassett 2 6 Gian_Marco 2
Angelina_Jolie 3 15 Jennifer_Aniston 13
Angelina_Jolie 4 16 Urmila_Matondkar 1
Angelina_Jolie 8 15 Rhina_Villatoro 1
Angelina_Jolie 9 17 Ratna_Sari_Dewi_Sukarno 1
Angelina_Jolie 16 17 Julian_Fantino 1
Anibal_Ibarra 2 3 Lonnie_Donegan 1
Anna_Kournikova 5 9 Linda_Baboolal 1
Annette_Bening 1 2 Quin_Snyder 1
Anthony_Hopkins 1 2 Keith_Brown 1
Antonio_Banderas 2 3 Saeed_Mortazavi 1
Antonio_Banderas 2 4 Mohamed_Seineldin 1
Antony_Leung 2 3 Richard_Haass 2
Anwar_Ibrahim 1 2 Gary_Barnett 1
Arantxa_Sanchez-Vicario 1 2 Manuel_Poggiali 2
Ari_Fleischer 1 13 Ana_Guevara 1
Ari_Fleischer 2 4 Robert_Schuller 1
Ari_Fleischer 4 6 Igor_Ivanov 9
Ari_Fleischer 8 13 Aishwarya_Rai 1
Arianna_Huffington 1 2 Mae_Jemison 1
Arianna_Huffington 2 3 John_Anderson 1
Arminio_Fraga 2 6 Drew_Bledsoe 1
Arnold_Palmer 1 2 Tayshaun_Prince 1
Arnold_Palmer 1 3 Carla_Myers 2
Arnoldo_Aleman 1 3 Milan_Kucan 1
Arnoldo_Aleman 2 4 Mireille_Jospin-Dandieu 1
Aron_Ralston 1 2 Valerie_Thwaites 1
Art_Hoffmann 1 2 Geoffrey_Rush 1
Arturo_Gatti 1 2 Hal_Gehman 3
Arturo_Gatti 2 3 Amy_Cotton 1
Arye_Mekel 1 2 Juan_Fernandez 1
Asa_Hutchinson 1 2 Park_Jung_Sung 1
Atal_Bihari_Vajpayee 10 20 Joseph_Kabila 1
Atal_Bihari_Vajpayee 17 24 Geno_Auriemma 1
Augusto_Roa_Bastos 1 2 Luis_Gonzalez 1
Azra_Akin 1 4 Gordon_Cooper 1
Barbara_Walters 1 3 Chris_Crocker 1
Barbara_Walters 1 4 Abdullah 1
Barbara_Walters 3 4 Holly_Robinson_Peete 1
Barbra_Streisand 1 2 Mark_Swartz 1
Barbra_Streisand 2 3 Carolina_Barco 1
Barrett_Jackman 1 2 Mary_Tyler_Moore 2
Barry_Zito 1 2 Bill_Kong 1
Bashar_Assad 1 3 Mike_Alden 1
Bashar_Assad 3 4 Kellie_Coffey 1
Ben_Glisan 1 2 Nikki_McKibbin 1
Ben_Howland 1 2 Amanda_Plumer 1
Benazir_Bhutto 1 2 Hugh_Carey 1
Benazir_Bhutto 2 5 George_HW_Bush 9
Bernard_Landry 1 2 Lee_Ann_Womack 1
Bernard_Landry 1 4 Chris_Moore 1
Bernard_Law 1 2 John_Warner 4
Bernard_Law 2 5 James_Barksdale 1
Bernardo_Segura 1 2 Thomas_Wilkens 1
Beth_Jones 1 2 Eddie_Fenech_Adami 1
Bijan_Darvish 1 3 Richard_Krajicek 3
Bijan_Namdar_Zangeneh 1 2 Kim_Dae-jung 3
Bill_Belichick 1 2 Mike_Bair 1
Bill_Callahan 1 2 Yu_Shyi-kun 3
Bill_Callahan 1 3 John_Rosa 2
Bill_Clinton 4 20 Nathirah_Hussein 1
Bill_Gates 3 11 Artieas_Shanks 1
Bill_Gates 4 15 Lord_Hutton 1
Bill_Graham 1 7 Carin_Koch 1
Bill_Graham 8 9 Joel_Gallen 1
Bill_Nelson 1 2 Jean_Nagel 1
Bill_Simon 4 15 Judy_Genshaft 1
Bill_Simon 5 13 Colleen_Atwood 1
Billy_Crystal 3 5 Robin_McLaurin_Williams 2
Billy_Crystal 3 6 Art_Hoffmann 2
Billy_Crystal 5 6 Jim_Thome 1
Billy_Graham 1 2 Ricky_Martin 1
Binyamin_Ben-Eliezer 2 5 Suzanne_Torrance 1
Binyamin_Ben-Eliezer 3 7 Jeff_Feldman 1
Bo_Ryan 1 2 Christian_Lirette 1
Bob_Beauprez 1 2 Edgar_Savisaar 1
Bob_Geldof 1 2 Shawn_Kemp 1
Bob_Graham 1 5 Pham_Sy_Chien 1
Bob_Graham 1 6 Dereck_Whittenburg 1
Bob_Graham 2 4 Zarai_Toledo 2
Bob_Graham 3 5 Guy_Ritchie 1
Bob_Huggins 1 2 Jason_Sorens 1
Bob_Stoops 5 7 Guillaume_Depardieu 1
Bobby_Robson 1 2 Luther_Htu 1
Boris_Berezovsky 1 2 Pupi_Avati 1
Branko_Crvenkovski 1 3 Nick_Nolte 1
Brendan_Hansen 1 2 Melissa_Stark 1
Brooke_Shields 1 2 Lee_Nam-shin 1
Bruce_Van_De_Velde 1 2 David_Hilt 1
Bruce_Weber 1 2 MC_Hammer 1
Bud_Selig 1 2 Lee_Ann_Womack 1
Bud_Selig 1 4 Freda_Black 1
Bulent_Ecevit 2 4 Pete_Gillen 1
Bulent_Ecevit 2 5 Michael_Schumacher 3
Bulent_Ecevit 3 6 Ramon_Cardenas 1
Cameron_Diaz 3 4 Denise_Locke 1
Candie_Kung 1 2 Osrat_Iosef 1
Candie_Kung 2 3 Joseph_Ralston 1
Carla_Myers 1 2 Princess_Masako 2
Carlos_Menem 1 3 Ciro_Gomes 4
Carlos_Menem 6 12 Alex_King 1
Carlos_Ruiz 2 3 Yoelbi_Quesada 1
Carlos_Vives 1 2 Donald_Hays 1
Carlos_Vives 2 3 Pauley_Perrette 1
Carly_Fiorina 1 2 Mike_Fisher 1
Carly_Fiorina 1 3 Tuncay_Sanli 1
Carmen_Electra 1 6 Kwon_Young-gil 1
Carol_Moseley_Braun 1 2 Scott_Sullivan 1
Carolina_Kluft 1 3 Miranda_Otto 1
Caroline_Kennedy 1 3 Dan_Boyle 1
Carson_Palmer 2 4 Russell_Simmons 4
Cate_Blanchett 2 3 Sok_An 1
Cate_Blanchett 2 4 Alberto_Gonzales 1
Catherine_Deneuve 2 5 Eileen_Spina 1
Catherine_Zeta-Jones 1 4 Rudi_Voeller 1
Catherine_Zeta-Jones 1 8 Jose_Maria_Aznar 18
Catherine_Zeta-Jones 4 9 Vaclav_Klaus 1
Catherine_Zeta-Jones 6 9 Andrew_Bunner 1
Catherine_Zeta-Jones 8 10 Cole_Chapman 1
Cecilia_Bolocco 1 3 Yasser_Arafat 8
Cesar_Gaviria 2 5 Ed_Book 1
Cesar_Gaviria 4 8 Damon_van_Dam 1
Cesar_Gaviria 6 7 David_Nalbandian 13
Charles_Grassley 1 2 Steve_McManaman 1
Charles_Moose 1 3 Cindy_Moll 1
Charles_Moose 4 10 Micky_Arison 1
Charles_Moose 4 11 Derrick_Rodgers 1
Charles_Schumer 1 2 Rick_Barnes 2
Charlotte_Rampling 1 2 Fabrice_Santoro 3
Chen_Liang_Yu 1 2 Alexander_Lukashenko 1
Cherie_Blair 1 2 Curtis_Rodriguez 1
Cherie_Blair 1 3 Anthony_Rackauckas 1
Cherie_Blair 2 4 Tabare_Vazquez 1
Cherie_Blair 3 4 Michael_J_Fox 1
Choi_Sung-hong 1 4 Tim_Lobinger 1
Choi_Sung-hong 3 4 Jim_Hendry 1
Chris_Cooper 1 2 Henry_Hyde 1
Chris_Rock 1 2 Hedayat_Amin_Arsala 1
Chris_Tucker 1 2 Franck_Cerutti 1
Christian_Fittipaldi 1 2 Minnie_Driver 2
Christine_Gregoire 2 3 Wen_Jiabao 9
Christopher_Patten 1 2 Lisa_Stone 1
Christopher_Walken 1 4 Cecilia_Bolocco 2
Christopher_Walken 2 4 Eduardo_Romero 1
Chuck_Amato 1 2 Hamid_Efendi 1
Chuck_Yeager 1 2 Joe_Metz 1
Chung_Mong-hun 1 2 Daniel_Chin 1
Cindy_Margolis 1 2 Lee_Byung-woong 1
Ciro_Gomes 2 3 Ray_Lewis 1
Ciro_Gomes 2 4 Carolina_Moraes 2
Ciro_Gomes 3 4 Mike_Krzyzewski 2
Claire_Hentzen 1 2 Queen_Rania 4
Clara_Harris 1 4 Geovani_Lapentti 1
Clara_Harris 2 4 Michael_Kors 1
Claudia_Pechstein 1 2 Chris_Cooper 1
Claudia_Schiffer 1 3 Nora_Ephron 1
Clint_Eastwood 1 5 Mary_Blige 1
Clint_Eastwood 1 6 Conan_OBrien 2
Clint_Eastwood 3 6 Silvia_Farina_Elia 2
Colin_Farrell 1 7 Jean_Brumley 1
Colin_Farrell 3 7 Taufik_Kiemas 1
Colin_Jackson 1 2 Robert_Lange 1
Colin_Montgomerie 2 4 Arnie_Boehm 1
Colin_Montgomerie 2 5 Suzanne_Mubarak 1
Colin_Powell 38 212 Gennifer_Flowers 1
Colin_Powell 74 205 Lucia_Kenny_Anthony 1
Colin_Powell 120 166 Mahmoud_Al_Zhar 1
Conan_OBrien 1 2 Ernie_Stewart 1
Constance_Marie 2 3 Khalid_Qazi 1
Coretta_Scott_King 2 3 Shingo_Suetsugu 1
Corinne_Coman 1 2 Rhett_Warrener 1
Costas_Simitis 1 3 Elizabeth_Taylor 1
Costas_Simitis 2 4 Mark_Hurlbert 4
Cristina_Saralegui 1 2 Atal_Bihari_Vajpayee 24
Cruz_Bustamante 1 4 Brian_Pavlich 1
Dalai_Lama 1 2 Ben_Braun 1
Dale_Earnhardt_Jr 1 2 Imelda_Marcos 1
Dale_Earnhardt_Jr 1 3 Elijan_Ingram 1
Damon_van_Dam 1 2 Manuel_Rosendo 1
Dan_Morales 1 2 Mitchell_Crooks 1
Dan_Morales 1 3 Martha_Sahagun_de_Fox 1
Daniel_Day-Lewis 1 2 Miguel_Juarez_Perez 1
Daniel_Day-Lewis 1 3 Marcos_Cafu 1
Darrell_Issa 1 2 Oswaldo_Paya 5
Darrell_Porter 1 2 John_Anderson 1
Darren_Clarke 1 2 Alan_Jackson 1
Daryl_Hannah 1 2 Chung_Mong-hun 1
David_Anderson 1 2 Bill_Walton 1
David_Anderson 2 4 Thanongsak_Tuvinan 1
David_Beckham 4 17 Pamela_Melroy 1
David_Beckham 4 24 Lisa_Gottsegen 2
David_Beckham 5 10 Mesut_Yilmaz 1
David_Caruso 1 2 Charles_Moose 9
David_Coulthard 1 2 Cate_Blanchett 3
David_Dodge 1 2 Jose_Acasuso 1
David_Heymann 1 2 Kwame_Kilpatrick 1
David_Hyde_Pierce 3 4 Kaio_Almeida 1
David_Myers 1 2 Gordana_Grubin 1
David_Nalbandian 4 9 Ray_Halbritter 1
David_Spade 1 2 Lin_Yung_Hsi 1
David_Wells 1 2 Jane_Russell 1
David_Wells 2 5 Yashwant_Sinha 5
Dean_Barkley 1 4 Basdeo_Panday 1
Dean_Barkley 2 3 Barbara_Walters 2
Debbie_Reynolds 1 3 Mark_Salter 1
Debra_Brown 1 2 Igor_Trunov 1
Demi_Moore 1 2 Will_Young 1
Demi_Moore 2 3 Christian_Malcolm 1
Demi_Moore 2 4 Andrew_Cuomo 2
Dennis_Erickson 1 2 Najib_al-Salhi 1
Dennis_Kucinich 2 5 TA_McLendon 1
Dennis_Kucinich 6 7 Abdul_Rahman 1
Derek_Lowe 1 2 Mira_Sorvino 1
Desiree_Lemosi 1 2 Carla_Gay_Balingit 1
Dexter_Jackson 1 2 Jason_Biggs 1
Diana_Krall 1 3 Jia_Qinglin 1
Diana_Krall 1 6 Nora_Ephron 1
Diana_Krall 2 4 Hussein_Malik 1
Diana_Munz 2 3 Conan_OBrien 1
Dianne_Feinstein 2 3 Larry_Brown 6
Dick_Cheney 1 11 Helo_Pinheiro 1
Dick_Cheney 1 14 Diana_Munz 3
Dolly_Parton 1 2 Ty_Votaw 1
Dolma_Tsering 1 2 Luis_Guzman 1
Don_Nickles 1 2 Frank_Shea 1
Don_Siegelman 2 3 Sherry_Fisher 1
Donald_Evans 1 2 Lou_Piniella 3
Donald_Fehr 3 4 Prince_Felipe 1
Doris_Roberts 1 2 Carly_Fiorina 2
Doug_Duncan 1 2 Jim_Nochols 1
Drew_Barrymore 1 2 Michelle_Hofland 1
Duane_Lee_Chapman 1 2 Qian_Qichen 1
Dwayne_Johnson 1 2 Terence_Newman 1
Eddy_Merckx 1 2 Frank_Griswold 2
Edie_Falco 1 2 Enrique_Medina_Gomez 1
Edmund_Hillary 2 3 Mike_Myers 4
Edmund_Stoiber 2 3 Arye_Mekel 1
Eduard_Shevardnadze 1 3 Liu_Xiaoqing 1
Eduard_Shevardnadze 3 4 Richard_Branson 2
Eduardo_Duhalde 5 11 Andrea_Yates 1
Edward_Kennedy 1 2 Prince_Willem-Alexander 3
Edward_Said 1 2 Joseph_Hoy 1
Edwina_Currie 2 3 Jennifer_Reilly 1
Eileen_Coparropa 2 3 Marat_Safin 2
Elena_Bovina 1 2 Olene_Walker 1
Elijah_Wood 2 3 Fernando_Sanz 1
Elizabeth_Dole 1 3 Dimitar_Berbatov 1
Elizabeth_Hurley 1 2 Paul_Murphy 1
Elizabeth_Hurley 2 3 Peter_Chan 1
Elizabeth_Hurley 4 5 Colin_Farrell 6
Elizabeth_Shue 1 2 Brook_Robinson 1
Ellen_DeGeneres 1 2 Alexandre_Vinokourov 1
Elton_John 1 7 SJ_Twu 1
Elton_John 3 5 James_W_Kennedy 1
Elvis_Presley 1 2 Dinah_Turner 1
Emanuel_Ginobili 2 4 Simona_Hradil 1
Emile_Lahoud 1 2 Ray_Halbritter 1
Emily_Robison 1 2 Debra_Yang 1
Emma_Thompson 1 2 Anne_Heche 1
Emma_Thompson 1 3 Abdoulaye_Wade 4
Emmanuelle_Beart 1 2 Shafal_Mosed 1
Emmanuelle_Beart 2 3 Rudolph_Holton 1
Emmit_Smith 1 2 Raag_Singhal 1
Enrique_Bolanos 1 2 James_Carville 1
Enrique_Bolanos 2 5 Hank_Azaria 1
Enrique_Bolanos 4 5 Shane_Loux 1
Eric_Clapton 1 2 Caio_Blat 1
Eric_Rosser 1 2 Crispin_Glover 1
Erika_Harold 2 5 Anne_Cavers 1
Ernesto_Zedillo 1 2 Stella_McCartney 1
Ernie_Els 1 3 Anibal_Ibarra 3
Ethan_Hawke 1 4 Kurt_Thomas 1
Ethan_Hawke 2 4 Columba_Bush 1
Ethan_Hawke 3 4 Anthony_Scott_Miller 1
Eunice_Barber 1 2 Bart_Hendricks 1
Eva_Dimas 1 2 Paola_Espinoza 1
Evander_Holyfield 1 2 Diana_Silvius 1
Eve_Pelletier 1 2 Goran_Persson 1
Farouk_al-Sharaa 1 3 Dinah_Turner 1
Farouk_al-Sharaa 2 3 Boris_Henry 1
Federico_Trillo 1 3 Zafarullah_Khan_Jamali 2
Felix_Mantilla 1 2 Tom_Lantos 1
Fernando_Gonzalez 2 6 David_Wells 7
Fernando_Gonzalez 4 7 Russell_Simmons 3
Fernando_Henrique_Cardoso 1 3 Rod_Bryden 1
Fidel_Castro 4 14 Alfredo_di_Stefano 1
Flavia_Delaroli 1 2 Ernie_Preate 1
Frances_Fisher 1 2 Natasha_McElhone 2
Francis_Ford_Coppola 1 2 Kurt_Schottenheimer 1
Francisco_Flores 3 4 Maureen_Fanning 1
Frank_Griswold 1 2 George_Ryan 4
Frank_Solich 1 2 Jose_Woldenberg 1
Frank_Solich 3 4 Steny_Hoyer 1
Franz_Muentefering 1 3 Gabriel_Hughes 1
Franz_Muentefering 1 4 Monica_Seles 4
Franz_Muentefering 2 3 Jeff_Weaver 1
Fred_Thompson 2 3 George_Gregan 1
Fujio_Cho 1 5 Dyab_Abou_Jahjah 1
Gabriel_Valdes 1 2 Sanjay_Gupta 1
Garry_Kasparov 1 2 Ahmed_Ibrahim_Bilal 1
Gary_Carter 1 2 Bryant_Young 1
Gary_Carter 1 3 Juliette_Lewis 1
Gary_Forsee 1 2 Wang_Nan 1
Gary_Locke 1 2 Soon_Yi 1
George_Clooney 2 8 Sheldon_Silver 1
George_Clooney 3 9 Emily_Mortimer 1
George_Clooney 5 7 Terry_Hoeppner 1
George_Galloway 1 4 Ted_Washington 1
George_HW_Bush 1 10 Jane_Walker_Wood 1
George_HW_Bush 5 13 Guillermo_Canas 4
George_HW_Bush 10 13 Ainsworth_Dyer 1
George_Lopez 1 4 Frank_Coraci 1
George_P_Bush 1 2 Bob_Curtis 1
George_Pataki 1 5 Pedro_Duque 1
George_Roy_Hill 1 2 Jack_LaLanne 1
George_Voinovich 1 2 Ed_Smart 3
George_Voinovich 1 3 Gregg_Popovich 4
Gerardo_Gambala 1 2 James_Cunningham 2
Gerry_Parsky 1 2 Tom_Schnackenberg 1
Gian_Marco 2 3 Katie_Harman 1
Gil_de_Ferran 2 3 John_Malkovich 1
Gisele_Bundchen 1 2 Jayson_Williams 3
Gloria_Allred 1 2 Cole_Chapman 1
Gloria_Macapagal_Arroyo 29 40 Dave_Matthews 1
Gloria_Trevi 1 3 Mickey_Sherman 1
Gloria_Trevi 2 4 Ravan_AG_Farhadi 1
Gloria_Trevi 3 4 David_Bowie 1
Goldie_Hawn 2 6 Ally_Sheedy 1
Gonzalo_Sanchez_de_Lozada 3 10 Nate_Hybl 1
Gonzalo_Sanchez_de_Lozada 4 8 Sasha_Alexander 1
Gonzalo_Sanchez_de_Lozada 7 8 Hatsui_Hasuike 1
Goran_Persson 1 2 Bob_Wright 1
Grady_Irvin_Jr 1 2 Erin_Brockovich 1
Grant_Hackett 2 3 Paula_Dobriansky 1
Greg_Rusedski 1 4 Jane_Walker_Wood 1
Greg_Rusedski 2 4 Cindy_Klassen 1
Greg_Rusedski 3 4 Brook_Robinson 1
Gregg_Popovich 3 4 Vin_Diesel 2
Guillaume_Soro 1 2 Alexander_Downer 1
Guillermo_Canas 1 2 Heather_Locklear 1
Guillermo_Canas 1 4 Shaun_Pollock 1
Guillermo_Canas 2 4 Willis_Roberts 1
Guillermo_Coria 19 29 Ralph_Lauren 2
Guillermo_Coria 21 27 Olesya_Bonabarenko 2
Guillermo_Ortiz 1 2 Leah_Remini 1
Gunter_Pleuger 2 5 Dennis_Oswald 1
Gustavo_Kuerten 1 2 Alfredo_Moreno 1
Gustavo_Kuerten 2 3 Vladimir_Voltchkov 2
Habib_Rizieq 4 5 Kimberly_Stewart 1
Hal_Gehman 1 3 Suzie_McConnell_Serio 1
Hal_Sutton 1 2 James_Hakett 1
Halle_Berry 1 10 Joe_Calzaghe 2
Halle_Berry 7 15 Afton_Smith 1
Halle_Berry 10 16 Ellen_DeGeneres 1
Hamid_Karzai 1 2 Princess_Elisabeth 2
Hamzah_Haz 1 2 Fernando_Hierro 1
Hanan_Ashrawi 1 2 Bill_Stein 1
Hans_Blix 2 3 Dave_McNally 1
Hans_Blix 6 36 Carlos_Savedra 1
Hans_Blix 14 36 Jen_Schefft 1
Harbhajan_Singh 1 2 Toni_Jennings 1
Hashim_Thaci 1 2 Ally_Sheedy 1
Hassan_Nasrallah 1 2 Stanley_Nelson 1
Heath_Ledger 1 2 Hashim_Thaci 2
Hector_Babenco 1 2 Nikki_McKibbin 1
Hee-Won_Han 1 3 Francois_Botha 1
Heidi_Klum 1 3 Ahmed_Ibrahim_Bilal 1
Helen_Clark 3 4 Stephane_Rousseau 1
Henrique_Meirelles 1 2 Thad_Matta 1
Herta_Daeubler-Gmelin 1 2 Steven_Kinlock 1
Hideki_Matsui 1 2 Mike_OConnell 1
Hilary_Duff 1 3 Morgan_Fairchild 1
Hilary_Duff 2 3 James_McPherson 1
Hillary_Clinton 1 14 Walter_Mondale 5
Hillary_Clinton 8 14 Gary_Condit 1
Hilmi_Ozkok 1 2 Billy_Joel 1
Hipolito_Mejia 1 3 Mikhail_Khodorkovsky 1
Hisao_Oguchi 1 2 Tommy_Lewis 1
Holly_Hunter 2 3 Mick_Jagger 4
Holly_Hunter 2 5 Scott_Sullivan 1
Holly_Hunter 4 7 Nora_Ephron 1
Hootie_Johnson 1 2 Cindy_Moll 1
Hosni_Mubarak 8 9 Jack_Straw 6
Hu_Jintao 1 2 Andrew_Gilligan 1
Hu_Jintao 1 12 Glenn_Plummer 1
Hu_Jintao 2 3 Zhang_Wenkang 1
Hugh_Grant 1 7 Benedita_da_Silva 1
Hugh_Grant 1 9 Qian_Qichen 1
Hun_Sen 1 2 Pablo_Khulental 1
Hun_Sen 1 4 Clemente_de_la_Vega 1
Ian_McKellen 1 2 David_Anderson 4
Ian_McKellen 1 3 Greg_Owen 1
Ian_McKellen 2 3 Ashton_Kutcher 3
Ibrahim_Jaafari 1 2 John_Leguizamo 1
Igor_Ivanov 5 16 Nicolas_Lapentti 1
Ilan_Ramon 1 3 John_Paul_II 10
Inam-ul-Haq 1 2 Queen_Beatrix 3
Inocencio_Arias 1 2 Dale_Earnhardt 1
Intisar_Ajouri 2 3 Kostya_Tszyu 1
Jack_Straw 4 22 Rachel_Wadsworth 1
Jackie_Chan 1 10 Carlos_Alberto_Parreira 1
Jackie_Chan 7 12 Sue_Wicks 1
Jacqueline_Obradors 1 2 Leah_Remini 1
Jada_Pinkett_Smith 1 2 Morgan_Fairchild 1
James_Caan 1 2 Anjum_Hussain 1
James_Cunningham 1 2 Jason_Biggs 1
James_Cunningham 2 3 Farouk_al-Sharaa 1
James_Gandolfini 1 3 Dave_Williams 1
James_Jones 1 2 LeAnn_Rimes 1
James_Parker 1 2 Rohinton_Mistry 1
James_Schultz 1 2 Yasar_Yakis 3
James_Traficant 1 2 Farida_Ragoonanan 1
James_Traficant 1 3 Shafal_Mosed 1
James_Wolfensohn 1 3 Wally_Szczerbiak 1
Jan-Michael_Gambill 1 3 Keiko_Sofia_Fujimori 1
Jane_Fonda 1 2 Miranda_Otto 1
Jane_Pauley 1 2 Claudine_Farrell 1
Janet_Napolitano 1 4 Tom_Lantos 1
Janet_Napolitano 2 3 Kim_Hong-up 1
Jason_Jennings 1 2 Strom_Thurmond 1
Jason_Kidd 1 4 Naomi_Bronstein 1
Jason_Kidd 1 10 Li_Changchun 1
Jason_Kidd 5 6 Asif_Hanif 1
Jason_Kidd 6 9 Melina_Kanakaredes 1
Jason_Kidd 6 10 Igor_Trunov 1
Javier_Solana 2 6 Jean-Rene_Fourtou 1
Javier_Solana 6 7 Guennadi_Chipouline 1
Jay_Leno 2 3 Masja_Juel 1
Jayson_Williams 1 2 Roberto_Tovar 1
Jean-Claude_Braquet 1 2 Jaouad_Gharib 1
Jean-David_Levitte 3 4 Sepp_Blatter 3
Jean-David_Levitte 6 7 Marcelo_Salas 2
Jean-David_Levitte 8 10 Michael_Deutsch 1
Jean-Francois_Pontal 1 3 San_Lan 1
Jean-Sebastien_Giguere 1 2 Guy_Hemmings 2
Jean_Brumley 1 2 Noel_Forgeard 1
Jean_Chretien 3 8 Yingfan_Wang 1
Jean_Chretien 22 30 Rainer_Geulen 1
Jean_Chretien 31 50 Kaspar_Villiger 1
Jeanne_Moreau 1 2 Nick_Nolte 3
Jeb_Bush 4 12 Juan_Francisco_Palencia 1
Jeff_Van_Gundy 1 3 Bill_Pryor 1
Jeffrey_Archer 1 2 Tim_Robbins 2
Jeffrey_Immelt 1 2 Gerry_Parsky 2
Jeffrey_Jones 1 2 Emily_Robison 2
Jennifer_Aniston 5 13 Timothy_Coughlin 1
Jennifer_Garner 1 6 Jeffery_Strelzin 1
Jennifer_Garner 1 10 Jorge_Alberto_Galindo 1
Jennifer_Garner 4 5 Suzanne_Gaudet 1
Jennifer_Garner 5 11 Sanjay_Chawla 1
Jennifer_Lopez 4 7 Zaini_Abdullah 1
Jennifer_Lopez 5 15 John_Bond 1
Jennifer_Lopez 10 21 Mathilda_Karel_Spak 1
Jerry_Regier 2 3 Robert_Wiener 1
Jessica_Lynch 1 2 Julio_Iglesias_Jr 1
Jia_Qinglin 1 2 Donnie_Brennan 1
Jim_Carrey 2 3 Inga_Hall 1
Jim_Edmonds 1 2 Carla_Sullivan 1
Jim_Furyk 1 6 Ken_Dorsey 1
Jim_OBrien 1 3 Leon_Silver 1
Jim_OBrien 2 3 Jimmy_Smits 1
Jim_Tressel 1 2 Iain_Anderson 1
Jim_Tressel 2 3 Fernando_Sanz 1
Jiri_Novak 1 10 Tom_Vilsack 1
Jiri_Novak 4 7 Baburam_Bhattari 1
Jiri_Novak 9 11 Lee_Yuan-tseh 1
Jo_Dee_Messina 1 2 Emily_Mortimer 1
Joan_Claybrook 1 2 Angel_Maza 1
Joan_Laporta 2 7 Kenneth_Carlsen 1
Job_Cohen 1 2 Peter_Albertsen 1
Joe_Calzaghe 1 2 Micky_Ward 1
Joe_Dumars 1 2 Daniel_Rouse 1
Joe_Gatti 1 2 Emanuel_Ginobili 5
